epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
182;798389;60673;45702;96986;82764;76668;81094;60952;87064;62889;88829;347115;347115;347115
183;802779;59939;42925;96612;8158;76434;81905;60475;89293;63586;90522;342211;342211;342211
184;807167;60074;43869;96381;82712;75053;81529;61138;88777;62985;90378;337325;337325;337325
185;811541;59234;43367;96151;84476;76283;82208;61439;87146;61726;87709;332457;332457;332457
186;815913;58697;43396;95839;84109;77066;82064;61366;88079;64326;88276;327608;327608;327608
187;820295;59828;44072;96546;82666;78669;81661;61113;87002;6317;8811;322778;322778;322778
188;824675;57749;42388;95104;84775;76508;82442;61585;8674;62447;88577;317969;317969;317969
189;82906;56222;41084;94846;85453;74499;82263;61766;87604;60351;89637;31318;31318;31318
190;83344;5792;42426;9584;82714;76856;81558;61435;87844;62756;89565;308412;308412;308412
191;83782;58596;43029;9537;822;76497;81591;61525;87077;62645;87828;303665;303665;303665
192;842209;59484;42951;95611;887;74562;81573;6188;89786;62606;89872;298941;298941;298941
193;846589;57369;4175;95462;84831;75111;81602;62347;87405;61744;88454;294239;294239;294239
194;850972;58751;42415;95882;8497;76348;81475;61198;87771;62908;89315;289561;289561;289561
195;855351;5762;43;95808;80238;76832;8071;60998;87794;62322;88685;284906;284906;284906
196;859732;57225;41736;94919;80235;77238;80699;60826;89393;62591;9123;280275;280275;280275
197;864116;56382;40456;9474;88524;72471;8147;61695;86432;63988;88385;275668;275668;275668
198;868489;57442;41738;9534;88122;72962;80793;61468;85851;63832;87879;271087;271087;271087
199;872862;56654;419;95177;86669;7372;81109;61068;87667;62946;89031;266532;266532;266532
200;877248;56928;41166;9558;87192;73183;80934;61177;88008;64479;88483;262003;262003;262003
201;881629;57849;41609;95496;85779;73562;80669;60263;88021;66222;8802;2575;2575;2575
202;886006;5595;39914;95063;81336;76058;80634;61148;87065;6698;87225;253024;253024;253024
203;890398;55282;39335;9492;86738;75141;8108;61381;87126;65315;87871;248577;248577;248577
204;894775;56276;41069;95221;85582;75624;80954;61036;87698;62346;89051;244157;244157;244157
